age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
24,509,Ajman,6,Kids,Yas Waterworld,Winter
59,712,Ajman,8,Historical,Burj Al Arab,Summer
26,126,Abu Dhabi,3,Landmark,Jebel Jais,Winter
47,373,Dubai,2,Shopping,Global Village,Winter
39,169,Dubai,7,Outdoor,Jebel Jais,Winter
64,109,Umm Al Qaiwain,8,Landmark,Louvre Abu Dhabi,Winter
56,33,Ajman,2,Outdoor,Wadi Shawka,Summer
43,161,Umm Al Qaiwain,3,Kids,The Green Planet,Winter
14,322,Ajman,3,Kids,Kidzania,Winter
24,1454,Dubai,6,Kids,Global Village,Summer
94,2462,Sharjah,2,Shopping,Mall of the Emirates,Summer
45,65,Ras Al Khaimah,1,Historical,Al Noor Mosque,Winter
39,484,Sharjah,4,Kids,Dreamland Aqua Park,Summer
88,144,Sharjah,4,Kids,Butterfly Garden,Summer
63,1019,Ras Al Khaimah,8,Landmark,Emirates Palace,Summer
34,167,Fujairah,6,Kids,The Green Planet,Winter
30,29,Abu Dhabi,1,Landmark,Jebel Jais,Summer
21,48,Ras Al Khaimah,7,Outdoor,Wadi Shawka,Summer
74,146,Ajman,1,Kids,Butterfly Garden,Summer
32,408,Ajman,2,Kids,Ferrari World,Summer
7,104,Fujairah,1,Outdoor,Wadi Shawka,Winter
78,50,Fujairah,1,Kids,Ras Al Khor Wildlife Sanctuary,Summer
22,407,Dubai,7,Kids,Warner Bros World,Summer
19,186,Sharjah,3,Outdoor,Jebel Jais,Winter
61,2263,Sharjah,3,Historical,Burj Al Arab,Summer
92,128,Dubai,5,Outdoor,Jebel Hafeet,Winter
26,4031,Abu Dhabi,1,Shopping,Dubai Mall,Summer
56,643,Sharjah,2,Historical,Liwa Oasis,Winter
58,250,Fujairah,2,Landmark,Dubai Frame,Summer
28,56,Sharjah,3,Landmark,Al Noor Mosque,Winter
57,141,Fujairah,3,Landmark,Qasr Al Watan,Summer
14,395,Ras Al Khaimah,3,Kids,Kidzania,Winter
15,279,Abu Dhabi,2,Outdoor,Jumeirah Beach Residence,Summer
55,68,Ajman,6,Landmark,Dubai Creek,Winter
36,44,Ras Al Khaimah,9,Historical,Al Noor Mosque,Winter
62,659,Ajman,9,Historical,Burj Al Arab,Summer
20,54,Umm Al Qaiwain,2,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
30,552,Dubai,10,Kids,IMG Worlds of Adventure,Winter
61,53,Dubai,10,Landmark,Hatta Heritage Village,Summer
60,23,Fujairah,4,Landmark,Dubai Museum at Al Fahidi Fort,Winter
71,228,Dubai,1,Historical,Dubai Museum at Al Fahidi Fort,Winter
59,286,Fujairah,10,Kids,Al Ain Zoo,Summer
21,451,Ras Al Khaimah,3,Kids,IMG Worlds of Adventure,Summer
56,13,Fujairah,3,Landmark,Hatta Heritage Village,Winter
39,78,Dubai,2,Historical,Ajman Museum,Winter
5,454,Dubai,9,Kids,Kidzania,Winter
19,264,Fujairah,5,Kids,Ski Dubai,Summer
30,2918,Sharjah,3,Shopping,Gold Souk,Summer
46,194,Ajman,2,Kids,The Green Planet,Summer
36,450,Fujairah,1,Kids,Ferrari World,Summer
23,43,Abu Dhabi,5,Outdoor,Jebel Jais,Winter
49,608,Fujairah,9,Kids,Ferrari World,Summer
34,380,Fujairah,6,Historical,The Dubai Opera,Summer
27,49,Abu Dhabi,6,Historical,Al Noor Mosque,Summer
40,59,Ras Al Khaimah,3,Historical,Al Jazirah Al Hamra,Summer
27,150,Umm Al Qaiwain,8,Outdoor,Jebel Jais,Winter
26,134,Sharjah,7,Historical,Fujairah Fort,Summer
15,503,Ras Al Khaimah,3,Kids,IMG Worlds of Adventure,Winter
29,423,Abu Dhabi,1,Kids,Dreamland Aqua Park,Winter
24,104,Umm Al Qaiwain,2,Historical,Jumeirah Mosque,Summer
8,299,Dubai,5,Kids,Kidzania,Summer
47,433,Ras Al Khaimah,1,Kids,Ferrari World,Summer
74,1049,Sharjah,1,Landmark,Emirates Palace,Winter
4,224,Abu Dhabi,1,Kids,Kidzania,Summer
74,208,Sharjah,9,Historical,Dubai Museum at Al Fahidi Fort,Summer
44,228,Dubai,10,Kids,Dreamland Aqua Park,Winter
35,58,Fujairah,6,Historical,Umm Al Quwain Fort and Museum,Summer
71,46,Umm Al Qaiwain,4,Historical,Dubai Museum at Al Fahidi Fort,Summer
0,203,Dubai,1,Landmark,Ajman Beach,Winter
37,42,Ras Al Khaimah,1,Historical,Dubai Creek,Summer
69,57,Abu Dhabi,1,Landmark,Qasr Al Hosn,Winter
62,4333,Fujairah,2,Shopping,Yas Mall,Winter
52,130,Umm Al Qaiwain,4,Shopping,Madinat Jumeirah,Winter
7,67,Abu Dhabi,5,Kids,Childrens City,Winter
48,62,Sharjah,10,Historical,Al Jazirah Al Hamra,Summer
33,107,Dubai,10,Outdoor,Al Ain Zoo,Winter
34,133,Sharjah,1,Kids,Butterfly Garden,Summer
65,2020,Umm Al Qaiwain,9,Shopping,Dubai Mall,Summer
97,38,Fujairah,3,Shopping,Madinat Jumeirah,Winter
63,3810,Abu Dhabi,2,Landmark,Burj Al Arab,Winter
12,79,Dubai,3,Kids,Miracle Garden,Summer
15,308,Ajman,3,Historical,Wadi Adventure,Summer
84,47,Dubai,1,Historical,Al Noor Mosque,Summer
39,239,Dubai,2,Landmark,Burj Khalifa,Winter
19,72,Ajman,9,Outdoor,Jebel Hafeet,Winter
42,223,Dubai,5,Landmark,Dubai Frame,Winter
37,94,Fujairah,2,Historical,Al Bidya Mosque,Winter
18,89,Fujairah,7,Historical,Ajman Museum,Winter
12,69,Ajman,1,Kids,Childrens City,Winter
74,87,Ras Al Khaimah,3,Historical,Qasr Al Hosn,Summer
34,167,Dubai,10,Landmark,Dubai Fountain,Summer
49,535,Sharjah,9,Kids,Ferrari World,Winter
58,92,Dubai,2,Kids,Miracle Garden,Winter
26,291,Abu Dhabi,10,Kids,Ski Dubai,Summer
82,194,Ajman,1,Historical,Sheikh Zayed Grand Mosque,Summer
5,56,Umm Al Qaiwain,4,Historical,Al Ain Oasis,Summer
33,108,Abu Dhabi,6,Outdoor,Al Ain Zoo,Winter
25,166,Abu Dhabi,4,Kids,The Green Planet,Summer
46,33,Fujairah,10,Landmark,Dubai Fountain,Winter
76,810,Fujairah,1,Outdoor,Global Village,Summer
4,71,Sharjah,4,Landmark,Jebel Hafeet,Summer
39,190,Dubai,10,Kids,The Green Planet,Winter
7,200,Umm Al Qaiwain,3,Kids,OliOli,Summer
14,112,Abu Dhabi,7,Kids,Sharjah Aquarium,Summer
41,65,Sharjah,1,Landmark,Al Bidya Mosque,Winter
79,511,Ras Al Khaimah,4,Shopping,Dubai Mall,Summer
75,228,Sharjah,2,Landmark,Madinat Jumeirah,Summer
19,1120,Fujairah,7,Shopping,Dubai Mall,Summer
49,196,Abu Dhabi,10,Historical,Liwa Oasis,Winter
25,261,Ras Al Khaimah,9,Kids,Dreamland Aqua Park,Summer
70,301,Dubai,7,Outdoor,Liwa Oasis,Summer
7,483,Fujairah,5,Kids,Legoland Dubai,Winter
28,591,Ajman,9,Kids,Ferrari World,Summer
73,105,Ras Al Khaimah,3,Historical,Al Jazirah Al Hamra,Winter
28,1982,Ras Al Khaimah,4,Landmark,Sir Bani Yas Island,Summer
31,136,Abu Dhabi,8,Outdoor,Hatta Dam,Summer
10,27,Sharjah,8,Kids,Childrens City,Winter
13,230,Umm Al Qaiwain,9,Outdoor,Al Ain Zoo,Summer
25,314,Fujairah,10,Kids,Dreamland Aqua Park,Winter
13,251,Ajman,4,Kids,Kidzania,Summer
37,46,Ajman,4,Outdoor,Hatta Dam,Summer
76,124,Abu Dhabi,3,Historical,Qasr Al Watan,Summer
67,87,Umm Al Qaiwain,5,Historical,Sharjah Museum of Islamic Civilization,Winter
28,115,Fujairah,8,Kids,Al Ain Zoo,Winter
55,61,Ajman,2,Outdoor,Hatta Dam,Summer
21,199,Fujairah,6,Outdoor,Al Ain Zoo,Winter
18,50,Dubai,4,Historical,Al Jazirah Al Hamra,Summer
13,284,Fujairah,7,Kids,OliOli,Winter
52,137,Fujairah,8,Kids,Al Ain Zoo,Winter
15,1389,Umm Al Qaiwain,6,Shopping,Gold Souk,Winter
12,392,Fujairah,7,Kids,IMG Worlds of Adventure,Summer
74,192,Ras Al Khaimah,6,Landmark,Madinat Jumeirah,Winter
74,173,Ras Al Khaimah,9,Outdoor,Jumeirah Beach Residence,Winter
14,362,Fujairah,2,Kids,IMG Worlds of Adventure,Winter
75,2745,Fujairah,8,Shopping,Yas Mall,Winter
76,18,Abu Dhabi,8,Outdoor,Hatta Heritage Village,Winter
42,144,Umm Al Qaiwain,10,Historical,Al Ain Oasis,Summer
61,136,Umm Al Qaiwain,3,Landmark,Dubai Fountain,Summer
11,171,Umm Al Qaiwain,5,Kids,OliOli,Summer
26,147,Abu Dhabi,9,Landmark,Dubai Frame,Winter
61,189,Umm Al Qaiwain,2,Landmark,Madinat Jumeirah,Summer
94,138,Dubai,4,Kids,Butterfly Garden,Summer
31,118,Sharjah,3,Landmark,Fujairah Fort,Summer
91,26,Abu Dhabi,7,Historical,Dubai Creek,Winter
54,129,Umm Al Qaiwain,5,Historical,Al Ain Oasis,Winter
57,179,Umm Al Qaiwain,4,Historical,Sharjah Art Museum,Summer
48,100,Umm Al Qaiwain,8,Kids,Sharjah Aquarium,Winter
33,101,Umm Al Qaiwain,3,Historical,Jumeirah Mosque,Winter
48,189,Sharjah,9,Kids,The Green Planet,Summer
94,2564,Sharjah,4,Shopping,Gold Souk,Winter
13,228,Ajman,10,Historical,Dubai Museum at Al Fahidi Fort,Summer
43,381,Ajman,8,Shopping,Yas Mall,Summer
32,404,Ras Al Khaimah,1,Landmark,Louvre Abu Dhabi,Winter
42,176,Sharjah,3,Kids,The Green Planet,Winter
34,85,Fujairah,10,Outdoor,Saadiyat Island,Winter
51,166,Dubai,3,Landmark,Dubai Frame,Winter
59,4406,Abu Dhabi,10,Shopping,Dubai Mall,Summer
62,78,Dubai,3,Historical,Sharjah Art Museum,Summer
57,4336,Dubai,5,Shopping,Dubai Mall,Winter
39,64,Abu Dhabi,2,Landmark,Dubai Fountain,Winter
14,421,Umm Al Qaiwain,4,Kids,IMG Worlds of Adventure,Summer
10,426,Ajman,9,Kids,Legoland Dubai,Winter
73,68,Ras Al Khaimah,9,Landmark,Dubai Creek,Summer
38,87,Abu Dhabi,2,Shopping,Dubai Mall,Summer
45,464,Ajman,7,Historical,Wadi Adventure,Winter
28,49,Dubai,10,Landmark,Al Noor Mosque,Summer
13,73,Fujairah,9,Kids,Childrens City,Winter
35,1550,Abu Dhabi,1,Landmark,Burj Al Arab,Winter
54,3074,Fujairah,2,Historical,Burj Al Arab,Summer
42,135,Ajman,9,Landmark,Hatta Dam,Summer
16,399,Umm Al Qaiwain,1,Kids,Warner Bros World,Winter
24,247,Sharjah,1,Landmark,Saadiyat Island,Winter
58,158,Sharjah,7,Historical,Qasr Al Watan,Winter
54,116,Ras Al Khaimah,4,Historical,Qasr Al Hosn,Summer
14,148,Dubai,7,Outdoor,Al Qudra Lakes,Winter
19,230,Abu Dhabi,9,Kids,Dreamland Aqua Park,Summer
99,247,Abu Dhabi,10,"Outdoor, Landmark",Ajman Beach,Winter
63,159,Sharjah,6,"Outdoor, Kids",Miracle Garden,Summer
74,50,Umm Al Qaiwain,7,"Landmark, Historical",Al Bidya Mosque,Winter
55,106,Dubai,3,"Outdoor, Kids",Miracle Garden,Winter
91,266,Abu Dhabi,1,"Shopping, Landmark",Madinat Jumeirah,Summer
72,20,Ras Al Khaimah,10,"Landmark, Historical",Al Bidya Mosque,Summer
59,125,Fujairah,3,"Outdoor, Landmark",Hatta Dam,Winter
81,131,Ajman,7,"Outdoor, Landmark",Ajman Beach,Summer
40,421,Ajman,6,"Historical, Kids",Wadi Adventure,Winter
78,1510,Dubai,7,"Shopping, Kids, Outdoor",Global Village,Summer
71,23,Fujairah,8,"Outdoor, Landmark",Ajman Beach,Winter
47,107,Fujairah,2,"Kids, Outdoor",Al Ain Zoo,Winter
42,131,Fujairah,1,"Landmark, Historical",Qasr Al Watan,Winter
66,102,Ajman,4,"Outdoor, Kids",Miracle Garden,Summer
48,208,Ras Al Khaimah,9,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Winter
69,153,Umm Al Qaiwain,7,"Landmark, Historical",Fujairah Fort,Winter
29,135,Ras Al Khaimah,8,"Outdoor, Landmark",Jebel Jais,Winter
44,1392,Ajman,7,"Landmark, Kids",Atlantis The Palm,Winter
14,42,Ajman,4,"Outdoor, Landmark",Dubai Fountain,Summer
14,135,Ras Al Khaimah,7,"Outdoor, Landmark",Jebel Jais,Summer
36,136,Umm Al Qaiwain,10,"Outdoor, Landmark",Jumeirah Beach Residence,Winter
64,99,Sharjah,1,"Landmark, Historical",Jumeirah Mosque,Summer
29,111,Abu Dhabi,9,"Outdoor, Kids",Miracle Garden,Summer
90,60,Fujairah,4,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Winter
23,191,Abu Dhabi,5,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
19,209,Umm Al Qaiwain,6,"Outdoor, Landmark",Saadiyat Island,Winter
30,156,Ras Al Khaimah,1,"Outdoor, Kids",Miracle Garden,Winter
96,46,Dubai,1,"Outdoor, Landmark",Ajman Beach,Winter
7,1262,Dubai,9,"Shopping, Kids, Outdoor",Global Village,Summer
73,40,Sharjah,10,"Historical, Landmark",Dubai Creek,Winter
55,51,Abu Dhabi,1,"Shopping, Landmark",Madinat Jumeirah,Winter
83,227,Umm Al Qaiwain,9,"Outdoor, Landmark",Jumeirah Beach Residence,Winter
29,167,Umm Al Qaiwain,9,"Landmark, Historical",Fujairah Fort,Winter
62,1523,Dubai,8,"Landmark, Kids",Atlantis The Palm,Summer
42,108,Abu Dhabi,5,"Historical, Outdoor",Liwa Oasis,Winter
40,162,Ras Al Khaimah,9,"Outdoor, Landmark",Jumeirah Beach Residence,Summer
24,171,Sharjah,7,"Landmark, Historical",Al Bidya Mosque,Winter
72,142,Sharjah,5,"Outdoor, Landmark",Hatta Dam,Summer
46,65,Ajman,1,"Outdoor, Landmark",Saadiyat Island,Winter
9,95,Ras Al Khaimah,1,"Landmark, Historical",Jumeirah Mosque,Winter
16,160,Sharjah,8,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
55,115,Ajman,7,"Landmark, Historical",Al Bidya Mosque,Summer
44,117,Dubai,1,"Outdoor, Landmark",Jumeirah Beach Residence,Winter
25,144,Dubai,2,"Landmark, Historical",Fujairah Fort,Winter
20,36,Fujairah,9,"Outdoor, Landmark",Ajman Beach,Summer
56,968,Ras Al Khaimah,9,"Landmark, Kids",Atlantis The Palm,Winter
44,344,Umm Al Qaiwain,9,"Historical, Kids",Wadi Adventure,Summer
67,12,Abu Dhabi,4,"Outdoor, Historical",Al Ain Oasis,Winter
69,150,Sharjah,2,"Historical, Outdoor",Liwa Oasis,Summer
45,446,Umm Al Qaiwain,1,"Shopping, Kids, Outdoor",Global Village,Summer
87,50,Dubai,10,"Historical, Landmark",Dubai Creek,Winter
69,97,Ras Al Khaimah,10,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Winter
65,74,Umm Al Qaiwain,10,"Landmark, Historical",Fujairah Fort,Summer
9,110,Fujairah,2,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
11,232,Umm Al Qaiwain,9,"Outdoor, Landmark",Jumeirah Beach Residence,Winter
35,214,Ras Al Khaimah,9,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Summer
32,261,Dubai,2,"Outdoor, Landmark",Jumeirah Beach Residence,Winter
63,1106,Abu Dhabi,2,"Landmark, Kids",Atlantis The Palm,Summer
47,110,Fujairah,4,"Outdoor, Landmark",Dubai Fountain,Summer
75,701,Ajman,6,"Landmark, Historical",Emirates Palace,Winter
72,67,Dubai,6,"Historical, Landmark",Dubai Creek,Winter
36,86,Ras Al Khaimah,10,"Historical, Landmark",Qasr Al Hosn,Winter
6,72,Ajman,2,"Historical, Outdoor, Landmark",Hatta Heritage Village,Winter
56,255,Fujairah,4,"Historical, Kids",Wadi Adventure,Winter
67,12,Umm Al Qaiwain,7,"Landmark, Historical",Al Bidya Mosque,Summer
37,79,Dubai,2,"Landmark, Historical",Jumeirah Mosque,Summer
66,173,Fujairah,10,"Outdoor, Kids",Miracle Garden,Winter
71,303,Dubai,6,"Landmark, Historical",Emirates Palace,Summer
33,4210,Dubai,2,"Outdoor, Landmark",Sir Bani Yas Island,Winter
55,50,Sharjah,8,"Historical, Landmark",Dubai Creek,Summer
31,180,Dubai,5,"Historical, Kids",Wadi Adventure,Summer
78,186,Dubai,2,"Outdoor, Historical",Al Ain Oasis,Summer
21,225,Umm Al Qaiwain,6,"Outdoor, Landmark",Ajman Beach,Summer
98,264,Ajman,1,"Shopping, Landmark",Madinat Jumeirah,Summer
7,18,Dubai,10,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Summer
79,125,Umm Al Qaiwain,7,"Landmark, Historical",Qasr Al Watan,Summer
45,243,Abu Dhabi,7,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Summer
58,113,Ajman,10,"Outdoor, Landmark",Hatta Dam,Summer
39,470,Dubai,6,"Landmark, Historical",Emirates Palace,Summer
65,1171,Sharjah,10,"Outdoor, Landmark",Sir Bani Yas Island,Summer
34,26,Dubai,10,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
63,3141,Umm Al Qaiwain,8,"Outdoor, Landmark",Sir Bani Yas Island,Winter
71,54,Fujairah,3,"Historical, Landmark",Al Noor Mosque,Winter
63,54,Umm Al Qaiwain,3,"Landmark, Historical",Jumeirah Mosque,Summer
81,93,Fujairah,6,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
45,284,Dubai,9,"Historical, Kids",Wadi Adventure,Winter
1,207,Sharjah,6,"Outdoor, Landmark",Jumeirah Beach Residence,Summer
14,132,Ajman,8,"Outdoor, Kids",Miracle Garden,Summer
75,86,Ajman,7,"Landmark, Historical",Jumeirah Mosque,Winter
44,25,Sharjah,9,"Historical, Outdoor, Landmark",Hatta Heritage Village,Winter
22,1823,Ajman,9,"Outdoor, Landmark",Sir Bani Yas Island,Winter
19,111,Dubai,8,"Historical, Landmark",Qasr Al Hosn,Summer
48,100,Umm Al Qaiwain,8,"Landmark, Historical",Emirates Palace,Summer
80,83,Sharjah,4,"Outdoor, Landmark",Hatta Dam,Winter
73,139,Ras Al Khaimah,4,"Historical, Outdoor",Liwa Oasis,Winter
58,188,Ajman,8,"Outdoor, Landmark",Dubai Fountain,Summer
48,208,Ajman,8,"Kids, Outdoor",Al Ain Zoo,Summer
98,127,Ras Al Khaimah,3,"Outdoor, Landmark",Ajman Beach,Summer
58,167,Ras Al Khaimah,5,"Outdoor, Kids",Miracle Garden,Summer
10,167,Umm Al Qaiwain,2,"Landmark, Historical",Sheikh Zayed Grand Mosque,Winter
52,1568,Sharjah,1,"Landmark, Historical",Emirates Palace,Winter
65,232,Dubai,4,"Outdoor, Landmark",Ajman Beach,Winter
7,39,Abu Dhabi,6,"Outdoor, Landmark",Ajman Beach,Winter
67,49,Ras Al Khaimah,3,"Historical, Outdoor, Landmark",Hatta Heritage Village,Summer
75,2107,Fujairah,9,"Shopping, Kids, Outdoor",Global Village,Winter
25,29,Ras Al Khaimah,7,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Summer
99,66,Ras Al Khaimah,4,"Historical, Landmark",Dubai Creek,Summer
14,107,Ajman,10,"Shopping, Landmark",Madinat Jumeirah,Summer
34,616,Ajman,2,"Historical, Outdoor",Liwa Oasis,Winter
13,26,Abu Dhabi,9,"Outdoor, Landmark",Saadiyat Island,Summer
62,61,Ras Al Khaimah,8,"Historical, Landmark",Dubai Creek,Summer
26,111,Dubai,9,"Landmark, Historical",Al Bidya Mosque,Summer
46,23,Ajman,9,"Outdoor, Landmark",Jebel Jais,Winter
23,127,Abu Dhabi,8,"Shopping, Landmark",Madinat Jumeirah,Winter
34,70,Ras Al Khaimah,10,"Shopping, Landmark",Madinat Jumeirah,Winter
21,186,Ras Al Khaimah,9,"Outdoor, Landmark",Dubai Fountain,Winter
13,25,Sharjah,8,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
93,100,Ajman,5,"Shopping, Landmark",Madinat Jumeirah,Summer
7,104,Ajman,5,"Outdoor, Landmark",Hatta Dam,Summer
9,73,Sharjah,3,"Outdoor, Historical",Al Ain Oasis,Summer
80,424,Dubai,3,"Historical, Outdoor",Liwa Oasis,Winter
14,116,Umm Al Qaiwain,10,"Landmark, Historical",Qasr Al Watan,Winter
36,206,Umm Al Qaiwain,5,"Landmark, Historical",Al Bidya Mosque,Summer
42,91,Fujairah,7,"Outdoor, Landmark",Dubai Fountain,Summer
31,1445,Ras Al Khaimah,5,"Landmark, Historical",Emirates Palace,Summer
46,443,Sharjah,2,"Historical, Kids",Wadi Adventure,Winter
30,83,Sharjah,2,"Landmark, Historical",Jumeirah Mosque,Winter
0,121,Ajman,8,"Outdoor, Landmark",Ajman Beach,Summer
70,71,Ajman,8,"Outdoor, Kids",Miracle Garden,Winter
38,36,Fujairah,1,"Outdoor, Landmark",Saadiyat Island,Summer
44,110,Fujairah,8,"Kids, Outdoor",Al Ain Zoo,Winter
20,67,Ajman,7,"Outdoor, Landmark",Jebel Jais,Summer
7,162,Ajman,3,"Shopping, Landmark",Madinat Jumeirah,Summer
78,150,Ajman,8,"Shopping, Landmark",Madinat Jumeirah,Summer
64,42,Fujairah,4,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Summer
27,228,Umm Al Qaiwain,4,"Landmark, Historical",Al Bidya Mosque,Winter
57,387,Abu Dhabi,3,"Historical, Kids",Wadi Adventure,Winter
46,183,Umm Al Qaiwain,2,"Historical, Kids",Wadi Adventure,Winter
24,50,Abu Dhabi,9,"Historical, Outdoor, Landmark",Hatta Heritage Village,Summer
35,109,Umm Al Qaiwain,3,"Outdoor, Landmark",Jebel Jais,Summer
69,104,Dubai,4,"Outdoor, Landmark",Jumeirah Beach Residence,Summer
25,132,Abu Dhabi,4,"Historical, Landmark",Qasr Al Hosn,Winter
53,213,Fujairah,3,"Kids, Outdoor",Al Ain Zoo,Summer
75,73,Fujairah,4,"Outdoor, Landmark",Hatta Dam,Summer
21,37,Ras Al Khaimah,2,"Outdoor, Historical",Al Ain Oasis,Summer
16,114,Ras Al Khaimah,3,"Landmark, Historical",Qasr Al Watan,Summer
35,209,Ras Al Khaimah,8,"Landmark, Historical",Al Bidya Mosque,Winter
60,50,Abu Dhabi,8,"Outdoor, Landmark",Saadiyat Island,Summer
13,88,Sharjah,3,"Landmark, Historical",Jumeirah Mosque,Summer
43,256,Abu Dhabi,8,"Shopping, Landmark",Madinat Jumeirah,Summer
41,81,Abu Dhabi,3,"Shopping, Landmark",Madinat Jumeirah,Winter
25,18,Fujairah,10,"Outdoor, Landmark",Hatta Dam,Summer
46,167,Fujairah,10,"Outdoor, Historical",Al Ain Oasis,Winter
66,69,Sharjah,5,"Historical, Landmark",Al Noor Mosque,Summer
69,124,Abu Dhabi,4,"Historical, Landmark",Qasr Al Hosn,Summer
57,199,Ajman,1,"Shopping, Landmark",Madinat Jumeirah,Winter
56,131,Sharjah,9,"Landmark, Historical",Qasr Al Watan,Summer
19,85,Umm Al Qaiwain,9,"Outdoor, Landmark",Jebel Jais,Winter
19,111,Ajman,9,"Landmark, Historical",Al Bidya Mosque,Summer
68,79,Umm Al Qaiwain,1,"Historical, Landmark",Qasr Al Hosn,Summer
14,2052,Ajman,2,"Outdoor, Landmark",Sir Bani Yas Island,Summer
12,77,Umm Al Qaiwain,4,"Outdoor, Kids",Miracle Garden,Winter
28,69,Ajman,8,"Historical, Landmark",Al Noor Mosque,Summer
42,593,Umm Al Qaiwain,9,"Historical, Outdoor",Liwa Oasis,Summer
48,41,Ajman,6,"Shopping, Landmark",Madinat Jumeirah,Winter
5,145,Fujairah,8,"Shopping, Landmark",Madinat Jumeirah,Winter
28,67,Dubai,6,"Historical, Landmark",Al Noor Mosque,Summer
32,148,Dubai,7,"Landmark, Historical",Fujairah Fort,Winter
86,16,Ras Al Khaimah,9,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Winter
20,236,Ras Al Khaimah,4,"Outdoor, Landmark",Saadiyat Island,Summer
31,35,Abu Dhabi,2,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
24,73,Dubai,9,"Landmark, Historical",Fujairah Fort,Summer
53,190,Dubai,6,"Outdoor, Landmark",Saadiyat Island,Summer
45,857,Abu Dhabi,6,"Landmark, Kids",Atlantis The Palm,Winter
97,82,Dubai,8,"Outdoor, Landmark",Ajman Beach,Winter
7,172,Sharjah,8,"Landmark, Historical",Al Bidya Mosque,Summer
72,169,Ajman,2,"Landmark, Historical",Sheikh Zayed Grand Mosque,Summer
78,300,Sharjah,6,"Historical, Outdoor",Liwa Oasis,Winter
66,53,Ajman,2,"Landmark, Historical",Jumeirah Mosque,Winter
11,95,Fujairah,7,"Outdoor, Landmark",Ajman Beach,Winter
46,65,Dubai,2,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Winter
61,130,Dubai,10,"Outdoor, Landmark",Dubai Fountain,Winter
10,57,Ras Al Khaimah,6,"Landmark, Historical",Jumeirah Mosque,Winter
8,176,Umm Al Qaiwain,2,"Kids, Outdoor",Al Ain Zoo,Winter
20,150,Dubai,5,"Historical, Outdoor, Landmark",Hatta Heritage Village,Winter
72,154,Fujairah,3,"Historical, Outdoor, Landmark",Hatta Heritage Village,Winter
83,20,Umm Al Qaiwain,4,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Winter
52,79,Umm Al Qaiwain,6,"Outdoor, Landmark",Jebel Jais,Winter
13,4007,Ajman,6,"Outdoor, Landmark",Sir Bani Yas Island,Summer
63,96,Ajman,4,"Outdoor, Landmark",Dubai Fountain,Summer
41,3881,Ras Al Khaimah,5,"Outdoor, Landmark",Sir Bani Yas Island,Winter
52,287,Umm Al Qaiwain,1,"Historical, Kids",Wadi Adventure,Summer
62,280,Fujairah,2,"Shopping, Landmark",Madinat Jumeirah,Winter
59,220,Sharjah,5,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Summer
49,105,Dubai,7,"Landmark, Historical",Jumeirah Mosque,Summer
18,96,Umm Al Qaiwain,2,"Historical, Landmark",Qasr Al Hosn,Summer
62,188,Umm Al Qaiwain,1,"Outdoor, Kids",Miracle Garden,Summer
39,653,Sharjah,1,"Landmark, Kids",Atlantis The Palm,Winter
47,96,Abu Dhabi,7,"Landmark, Historical",Emirates Palace,Winter
46,2451,Fujairah,5,"Outdoor, Landmark",Sir Bani Yas Island,Winter
23,378,Ajman,9,"Landmark, Kids",Atlantis The Palm,Winter
60,39,Ajman,6,"Outdoor, Kids",Ras Al Khor Wildlife Sanctuary,Winter
58,1437,Abu Dhabi,9,"Outdoor, Landmark",Sir Bani Yas Island,Winter
94,126,Dubai,3,"Outdoor, Landmark",Jumeirah Beach Residence,Winter
10,82,Umm Al Qaiwain,8,"Landmark, Historical",Jumeirah Mosque,Summer
29,192,Ajman,10,"Outdoor, Landmark",Saadiyat Island,Winter
50,137,Ajman,3,"Outdoor, Landmark",Saadiyat Island,Summer
16,2954,Ras Al Khaimah,2,"Outdoor, Landmark",Sir Bani Yas Island,Winter
11,206,Sharjah,4,"Kids, Outdoor",Al Ain Zoo,Summer
74,80,Ajman,7,"Historical, Landmark",Dubai Museum at Al Fahidi Fort,Winter
13,139,Dubai,7,"Historical, Outdoor, Landmark",Hatta Heritage Village,Winter
